,Focal Area,What's Going On This Month?,Workstream,Product #,Product Name,What to track?,Treatment,Sr. Level Technical Reviewer/Approver,DEC Submission (Y/N),MI Lead,FAB Lead,Link to Folder,Product Status,Production Timeline (No. of Months),% Completion,Due Date,Important Notes,FY20 Q1 Progress,FY20 Q2 Progress
10,4. BUSINESS PROCESSES AND INTEGRATION,2/28/2020: CCN Scope under development with Andres Gomez Technical Lead. LH and AG to discuss 3/5.,4.1 Evaluation of FAB Activities,4.1.2.D,"Conservation Volunteer Assessment Final report, including final briefing for FAB and externally facing Executive Summary",Product,Scoping + Transmission + Dissemination + Data Storage Plan,Natalie,Yes,Lexine,Andy,,,,,,,,
11,4. BUSINESS PROCESSES AND INTEGRATION,2/28/2020: CCN Scope under development with Andres Gomez Technical Lead. LH and AG to discuss 3/5.,4.1 Evaluation of FAB Activities,4.1.2.E,"Conservation Volunteer Assessment Data tables, instruments and User Guide for replicating the assessment.",Product,Scoping + Transmission + Dissemination + Data Storage Plan,Natalie,Yes,Lexine,Andy,,,,,,,,
12,4. BUSINESS PROCESSES AND INTEGRATION,"iMEL on target for April deliverable, interviews and results chains being developed, desk reviews mostly completed, conversations with Missions and colleagues begun.

Significant TWP inputs being provided with MI2 through a well defined process of co-creation. Next steps will focus on piloting approaches in the field and sharing feedback with USAID and BRIDGE",4.2 TWP/PEA,4.2.1,Technical inputs to BRIDGE FY20 deliverables,Other,,Kelsey,No,Kelsey,Olaf,,Production,7,25-34%,Apr,Budget resources expected to expended by end of April,"Reviewed and provided comments on an initial outline for the TWP Supplementary Guide. Identified potential TDY opportunities to pilot preliminary guidance. Led and participated in BRIDGE and USAID meetings, including the TWP Working Group meeting.","Reviewed and provided comments on the first draft of the TWP Supplementary Guide. Supported the design and delivery of a TWP training session that included 27 participants from USAID, MI2, BRIDGE, SEEK and TNRC. ** Anticipated: Piloted approaches to integrating TWP into the Conservation Standards through late Q2 TDYs and provided feedback to the TWP team**"
13,4. BUSINESS PROCESSES AND INTEGRATION,"iMEL on target for April deliverable, interviews and results chains being developed, desk reviews mostly completed, conversations with Missions and colleagues begun.

Significant TWP inputs being provided with MI2 through a well defined process of co-creation. Next steps will focus on piloting approaches in the field and sharing feedback with USAID and BRIDGE",4.3 iMEL,4.3.1.A,Draft Biodiversity and Sustainable Landscape Annex to the iMEL Document,Other,,Kelsey,No,Kelsey,Olaf,Link,Production,4,25-34%,Apr,"Desk reviews underway, interviews in planning.","Reviewed and provided comments on the iMEL product scoping sheet and case study and strategic approach selection for sustainable landscapes annex. Initiatied desk review for sustainable landscapes annex. Led and participated in BRIDGE and USAID meetings, including the Climate Change-Biodiversity Working Group.",Led and participated in BRIDGE and USAID meetings to refine the scope of iMEL outputs and assess preliminary findings from BRIDGE case studies. Conducted four interviews with key informants for SL annex. **Anticipated: completed desk review and provided technical insights to BRIDGE**
14,4. BUSINESS PROCESSES AND INTEGRATION,"-Possible meeting in the pipeline between MI2, FAB and Stephanie Fugate from OAA to talk about how procurement language can create the enabling conditions for AM - date TBD

?--is MI2 in talks with PPL around maturity matrix? Should that be here or elsewhere and should someone else be POC on that?",4.6 OAA/PPL Engagement,4.6.1.A,Scope of Collaboration for OAA-FAB Activity--leading to Procurement Language Product,Product,Scoping + Transmission + Dissemination Plans,Kelsey,No,Lexine,Megan,Link,Scoping,6,0-24%,Sep,,,
15,4. BUSINESS PROCESSES AND INTEGRATION,"-Possible meeting in the pipeline between MI2, FAB and Stephanie Fugate from OAA to talk about how procurement language can create the enabling conditions for AM - date TBD

?--is MI2 in talks with PPL around maturity matrix? Should that be here or elsewhere and should someone else be POC on that?",4.6 OAA/PPL Engagement,4.6.1.B,Scope of Collaboration for PPL-FAB Activity,,,,,Lexine,Megan,,,,,,,,
16,4. BUSINESS PROCESSES AND INTEGRATION,"-Possible meeting in the pipeline between MI2, FAB and Stephanie Fugate from OAA to talk about how procurement language can create the enabling conditions for AM - date TBD

?--is MI2 in talks with PPL around maturity matrix? Should that be here or elsewhere and should someone else be POC on that?",4.6 OAA/PPL Engagement,4.6.1.C,Support Business Process Working Group to Develop Workstream Proposals,,,,,Lexine,Megan,Link,Scoping,6,0-24%,,"Next steps include meeting with SF in OAA, BIPWOG update.",,
17,5. CAPACITY DEVELOPMENT AND ADULT LEARNING,"NA Memo undergoing revisions, with Liz and Lexine developing high-level principles and recommendations.

Stakeholder Engagement strategy small group honing engagement cards after FAB-MI2 meeting Feb 25.",5.1 Needs Assessment and Stakeholder Engagement Strategy,5.1.1.A,Stakeholder Needs Assessment Results five-page summary memo and findings slide deck,Product,Scoping + Transmission + Dissemination + Data Storage Plan,Liz,No,Lexine,Megan,Link,Review,1,90-95%,Feb,Waiting on FAB feedback for first content review. Timeline in shared folder Transmission Sheet.,,"Needs assesment memo needs approval and MH sign off, reminder email sent 2/11.
Needs Assessment slide deck needs significant design support, need to talk with Amy.
Needs Assessment data user guide tools etc. needs cleaning and organizing."
18,5. CAPACITY DEVELOPMENT AND ADULT LEARNING,"NA Memo undergoing revisions, with Liz and Lexine developing high-level principles and recommendations.

Stakeholder Engagement strategy small group honing engagement cards after FAB-MI2 meeting Feb 25.",5.1 Needs Assessment and Stakeholder Engagement Strategy,5.1.1.B,Final dataset with clearly documented data collection and analysis tools,Product,Scoping + Transmission + Dissemination + Data Storage Plan,Liz,No,Lexine,Megan,Link,Review,1,90-95%,Feb,,,
19,5. CAPACITY DEVELOPMENT AND ADULT LEARNING,"NA Memo undergoing revisions, with Liz and Lexine developing high-level principles and recommendations.

Stakeholder Engagement strategy small group honing engagement cards after FAB-MI2 meeting Feb 25.",5.1 Needs Assessment and Stakeholder Engagement Strategy,5.1.1.C,Stakeholder Needs Assessment Findings Discussion with FAB,Process,,Kathleen,No,Lexine,Megan,Link,Completed,,,Nov,Completed in November 2019.,,
20,5. CAPACITY DEVELOPMENT AND ADULT LEARNING,"NA Memo undergoing revisions, with Liz and Lexine developing high-level principles and recommendations.

Stakeholder Engagement strategy small group honing engagement cards after FAB-MI2 meeting Feb 25.",5.1 Needs Assessment and Stakeholder Engagement Strategy,5.1.2.A,Stakeholder Engagement Strategy - a 10-15 page living google document with links as possible to resources and learning from SEEK and other FAB CKM processes.,Product,Scoping + Transmission + Dissemination Plans,Kelsey,No,Lexine,Natalie,Link,Production,2,0-24%,Feb,Slowing down to build on Needs Assessment principles and learning.,,"Stakeholder Engagement strategy in process, mtg with SH on 2/14 to solidify cut offs and next steps, also needing feedback from targeted folks including FAB, will move that forward after conversation with SH. Engagement strategy feedback received during MI2-FAB meeting Feb 25, will revise after reorganization of Needs Assessment Memo."
21,5. CAPACITY DEVELOPMENT AND ADULT LEARNING,Tess Designee provide updates directly in this tool,5.2 Training and Coaching,5.2.2.A,Coaching and subject matter expertise support to Advisors Cohort.,Process,,Tess,No,Tess,Megan,,Production,9,25-34%,Sep,,"FYI - TRG is lead on this program; Tess is one of 3 coaches (2TRG + Tess representing MI2) and supports program development and implementation. IN Q1, TRG and AM updates FAB Training Steering Committee on vision of program and identified potential advisors. AM recruited 25 Advisors - 12 FSNs, 4 FSOs, 9 from DC offices (FAB/Land & Urban/GCC) and bureaus (LAC /Asia).","- AM & 3 coaches had kick-off call Jan 30 and subseuqent regular calls to review Advisor needs, identify coaching groups, define categories of learning opportunities, and develop coaching materials. 
- Tess assigned as coach to 9 of 25 Advisors and having regular coaching sessions with each individual to develop and initiate learning plans. 
- Advisor Program Kick-off webinar held Mar 09 (with both am & pm sessions). 
- In-person coaches mtg scheduled for March 25 at TRG offices to develop and refine program offerings based on completed learning plans."
22,5. CAPACITY DEVELOPMENT AND ADULT LEARNING,Caroline provide updates directly in this tool,5.3 Tools and Guidance,5.3.1.A,Support up to three TDYs to apply adult learning techniques,Process,,Caroline,No,Caroline,Megan,AL folder,Production,12,35-79%,Sep,,"SAR/AIRR TDY/workshop: MI2 team had an advance call w Meredith from TRG for ideas/suggestions on introductions, how to deal w number of powerpoints and keeping these brief with clear core message, visuals. 
Team found that it was helpful at start-up to keep things simple and high level with journey map as key starting piece. To give visual flavor and give people overall strategy but not details
","Vietnam Saving Species P&R: shared pain points and challenges both overall and session by session. Developed some sessions wtih 1-2 options - 2 options if it depended on the room (an option for a lively, eager-to-share group, and an option for a quieter, less enthusiastic group). The intention was to allow the facilitators to read the room and have options. MI2 passed off facilitation of this TDY due the coronavirus concerns - but a LEARN facilitator was able to pick up our exercises after a 1 hour call and follow up emails. She used some of our common AL techniques - The popular timeline method, and the common think/pair/share to reflect on activity progress - and the workshop evaluations were positive regarding these techniques."
23,5. CAPACITY DEVELOPMENT AND ADULT LEARNING,Caroline provide updates directly in this tool,5.3 Tools and Guidance,5.3.1.B,Support cross-mission learning program activities to apply adult learning techniques,Process,,Caroline,No,Caroline,Megan,,Completed,3,100%,Dec,,Provided adult learning input to CWT Learning Exchange in November in Bangkok.,
24,5. CAPACITY DEVELOPMENT AND ADULT LEARNING,Caroline provide updates directly in this tool,5.3 Tools and Guidance,5.3.1.C,Monthly work stream discussions and report outs on adult learning facilitation,Process,,Caroline,No,Caroline,Megan,AL meeting notes,Production,12,35-79%,Sep,,Ongoing monthly calls with core team to coordinate/discuss upcoming TDY opportunities and possible tools/resources.,Ongoing monthly calls with core team to coordinate/discuss upcoming TDY opportunities and possible tools/resources.
25,5. CAPACITY DEVELOPMENT AND ADULT LEARNING,Caroline provide updates directly in this tool,5.3 Tools and Guidance,5.3.1.D,Provide input to update MI2 tools and resources (as needed),Product,,Kelsey,No,Caroline,Megan,Challenges & Solutions,Production,6,25-34%,Sep,,"Developed draft facilitator's agendas for P&R with possible scenarios for AL application. Team found that this was not the right fit and too specific, so we moved to the spreadsheet to capture challenges/opportunities for Design and P&R that can be discussed in advance of TDYs with USAID POCs (in DC and Missions).","Developed draft excel document that is currently focused on Design and P&R. This will be a living document where staff can add pain points or challenges and solutions that worked to address that challenge - recognizing that there may be many potential techniques and they will be context dependent. The aim is for this to be a menu to choose from depending on the needs of particular TDYs. Note that most pain points will likely have more than one possible solution. 
Still to develop: Repository of TDY agendas that have used/applied adult learning techniques"
26,5. CAPACITY DEVELOPMENT AND ADULT LEARNING,"Linda/Kelsey provide updates directly in this tool
",5.3 Tools and Guidance,5.3.2.A,"Updated core field support PowerPoints (topics could include: developing situation models and selecting strategic approaches, developing a theory-of change, and monitoring, evaluation and learning)",Product,Scoping + Transmission + Dissemination Plans,Shelly,No,Kelsey,Megan,TA Materials Folder,Scoping,12,0-24%,Oct,,No progress,No progress
27,5. CAPACITY DEVELOPMENT AND ADULT LEARNING,"Linda/Kelsey provide updates directly in this tool
",5.3 Tools and Guidance,5.3.3.A,Convene and facilitate meetings with FAB and PPL/LER to socialize and further shape a shared vision for how to apply the Biodiversity Programming Maturity Matrix in our work with missions (pre and post pilot phase),,,,,Linda,Megan,,,,,,,,
28,5. CAPACITY DEVELOPMENT AND ADULT LEARNING,"Linda/Kelsey provide updates directly in this tool
",5.3 Tools and Guidance,5.3.3.B,Develop beta version of the self-assessment and action planning tool and the team engagement and facilitation approach,,,,,Linda,Megan,,,,,,,,
29,5. CAPACITY DEVELOPMENT AND ADULT LEARNING,"Linda/Kelsey provide updates directly in this tool
",5.3 Tools and Guidance,5.3.3.C,"Pilot beta version of the self-assessment and action planning tool in Madagascar and possibly one additional mission in FY20, and harvest learning to inform future applications",,,,,Linda,Megan,,,,,,,,
30,5. CAPACITY DEVELOPMENT AND ADULT LEARNING,? provide updates directly in this tool,5.3 Tools and Guidance,5.3.4,"Online HTG3, the third in a three-part series aligned to the Biodiversity How-To Guides. The online guides comprise a script that covers the technical content in the guide, quizzes and other interactive learning features, and video testimonials by USAID users. The online guides will be developed in Articulate Rise.",,,,,Amy,Megan,,,,,,,,
31,"6. KNOWLEDGE MANAGEMENT, LEARNING, AND EVALUATION","[Linda provide updates directly in this tool]
",6.1 TDY Debriefs and Story Harvesting,6.1.1,"Approximately 40 TDY debriefs delivered to USAID and implementing team staff. The MI2 Organizational Learning Specialist will be responsible for coordinating with the TDY teams and preparing and following up on the debriefs. Debriefs will be prepared and delivered by MI2 staff, but the USAID staff who participate in TDYs will be given opportunities to prepare and deliver the briefings as well.",Other,,Shelly,No,Kelsey,Olaf,TDY Debriefs Folder,Production,12,35-79%,Oct,,,
32,"6. KNOWLEDGE MANAGEMENT, LEARNING, AND EVALUATION","[Linda provide updates directly in this tool]
",6.3 Performance Indicator Tracking and Reporting,6.3.1.A,"Tools to track indicators 1, 5, and 4.",,,,,Linda,Sara,,,,,,,,
33,"6. KNOWLEDGE MANAGEMENT, LEARNING, AND EVALUATION","[Linda provide updates directly in this tool]
",6.3 Performance Indicator Tracking and Reporting,6.3.1.B,"Two reports on indicator tracking, including as sections in the MI2 semi-annual and annual reports.",,,,,Linda,Sara,,,,,,,,
34,7. PROJECT MANAGEMENT,"- Developing and populating management tools including this MI2-wide progress & product tracker, product development guidance, and file management standard operating procedures (SOPs)
- Facilitating a series of brown bags for conservation standards and Miradi 4.0, MI2-wide tracker (2/13)
- Developing guidance and a training module on product development (2/27)
- Preparing for budget management training module in March (including projections exercises by workstream)
- Streamling the reporting process for the semi-annual report that is coming up in April 15, and the FY20 Q2 Financial Quarterly Report.
- Assistance with Mozambique buy-in preparation.
- Inculcating practice for bulletin content creation - aiming to circulate around 26/27 of each month.
- Clarification of COR approved deliverables and population of MI2-wide deliverables database.
- Initiating corrections to invoice for shift to new operational model - determining what different/additional guidance on Replicon is needed for circulation.",7.1 Reporting,7.1.1.A,"Semi-annual and annual reports to share lessons learned, promote best practices in adaptive management, and the generation and use of evidence and learning to achieve biodiversity conservation goals.",,,,,Linda,Sara,,,,,,,Roll out of new operational model and updating invoicing to reflect new structure.,"- Improved budget management across the board - messaging updates via a dashboard in development; evolving the BVA; and improving projections capability and promoting overall budget principles and centralizing budget QA/QC process. 
- Developing and populating management tools including this MI2-wide progress & product tracker, product development guidance, and file management standard operating procedures (SOPs) 
- Improving guidance and practices on product development 
- Efficient preparation of semi-annual report (due April 15), and of the FY20 Q2 Financial Quarterly Report (due April 15).
- Assistance with Mozambique buy-in preparation and finalization. 
- Inculcating practice for bulletin content creation - 
- Clarification of COR approved deliverables and population of MI2-wide deliverables database. 
- Finalizing corrections to invoice for shift to new operational model 
"
35,7. PROJECT MANAGEMENT,"- Developing and populating management tools including this MI2-wide progress & product tracker, product development guidance, and file management standard operating procedures (SOPs)
- Facilitating a series of brown bags for conservation standards and Miradi 4.0, MI2-wide tracker (2/13)
- Developing guidance and a training module on product development (2/27)
- Preparing for budget management training module in March (including projections exercises by workstream)
- Streamling the reporting process for the semi-annual report that is coming up in April 15, and the FY20 Q2 Financial Quarterly Report.
- Assistance with Mozambique buy-in preparation.
- Inculcating practice for bulletin content creation - aiming to circulate around 26/27 of each month.
- Clarification of COR approved deliverables and population of MI2-wide deliverables database.
- Initiating corrections to invoice for shift to new operational model - determining what different/additional guidance on Replicon is needed for circulation.",7.1 Reporting,7.1.1.B,Buy-in narrative and budget responses prepared in a timely manner in response to SOWs received from the COR,,,,,Elma,Sara,,,,,,,,
36,7. PROJECT MANAGEMENT,"- Developing and populating management tools including this MI2-wide progress & product tracker, product development guidance, and file management standard operating procedures (SOPs)
- Facilitating a series of brown bags for conservation standards and Miradi 4.0, MI2-wide tracker (2/13)
- Developing guidance and a training module on product development (2/27)
- Preparing for budget management training module in March (including projections exercises by workstream)
- Streamling the reporting process for the semi-annual report that is coming up in April 15, and the FY20 Q2 Financial Quarterly Report.
- Assistance with Mozambique buy-in preparation.
- Inculcating practice for bulletin content creation - aiming to circulate around 26/27 of each month.
- Clarification of COR approved deliverables and population of MI2-wide deliverables database.
- Initiating corrections to invoice for shift to new operational model - determining what different/additional guidance on Replicon is needed for circulation.",7.2 Work Planning,7.2.1.A,Annual work plan and budget for FY20.,,,,,Elma,Sara,,,,,,,,
37,7. PROJECT MANAGEMENT,"- Developing and populating management tools including this MI2-wide progress & product tracker, product development guidance, and file management standard operating procedures (SOPs)
- Facilitating a series of brown bags for conservation standards and Miradi 4.0, MI2-wide tracker (2/13)
- Developing guidance and a training module on product development (2/27)
- Preparing for budget management training module in March (including projections exercises by workstream)
- Streamling the reporting process for the semi-annual report that is coming up in April 15, and the FY20 Q2 Financial Quarterly Report.
- Assistance with Mozambique buy-in preparation.
- Inculcating practice for bulletin content creation - aiming to circulate around 26/27 of each month.
- Clarification of COR approved deliverables and population of MI2-wide deliverables database.
- Initiating corrections to invoice for shift to new operational model - determining what different/additional guidance on Replicon is needed for circulation.",7.3 Financial Management,7.3.1.A,"Monthly invoices and a financial report on a quarterly basis. The quarterly report will include cumulative spent to date, total spent by major stream of work, LOE expended per person, notes on major budget items, pipeline analysis, and forecasted obligation needs. These reports will inform a quarterly financial discussions with the COR, Acting COR, COP, DCOP, and other FAB and MI2 staff as needed.",,,,,Elma,Sara,,,,,,,,
38,7. PROJECT MANAGEMENT,"- Developing and populating management tools including this MI2-wide progress & product tracker, product development guidance, and file management standard operating procedures (SOPs)
- Facilitating a series of brown bags for conservation standards and Miradi 4.0, MI2-wide tracker (2/13)
- Developing guidance and a training module on product development (2/27)
- Preparing for budget management training module in March (including projections exercises by workstream)
- Streamling the reporting process for the semi-annual report that is coming up in April 15, and the FY20 Q2 Financial Quarterly Report.
- Assistance with Mozambique buy-in preparation.
- Inculcating practice for bulletin content creation - aiming to circulate around 26/27 of each month.
- Clarification of COR approved deliverables and population of MI2-wide deliverables database.
- Initiating corrections to invoice for shift to new operational model - determining what different/additional guidance on Replicon is needed for circulation.",7.3 Financial Management,7.3.1.B,"A semi-annual briefing on the budget, including burn rate, life of activity projections, and spending at the workstream level.",,,,,Elma,Sara,,,,,,,,
39,7. PROJECT MANAGEMENT,"- Developing and populating management tools including this MI2-wide progress & product tracker, product development guidance, and file management standard operating procedures (SOPs)
- Facilitating a series of brown bags for conservation standards and Miradi 4.0, MI2-wide tracker (2/13)
- Developing guidance and a training module on product development (2/27)
- Preparing for budget management training module in March (including projections exercises by workstream)
- Streamling the reporting process for the semi-annual report that is coming up in April 15, and the FY20 Q2 Financial Quarterly Report.
- Assistance with Mozambique buy-in preparation.
- Inculcating practice for bulletin content creation - aiming to circulate around 26/27 of each month.
- Clarification of COR approved deliverables and population of MI2-wide deliverables database.
- Initiating corrections to invoice for shift to new operational model - determining what different/additional guidance on Replicon is needed for circulation.",7.4 Staffing,7.4.1.A,"A staffing plan that is responsive to client needs and aligned to the resources available. This will include staff who are fully allocated to supporting MI2 from EI, FOS, and ICF as well as other staff of the implementing partner organizations and consultants.",,,,,Shelly,Sara,,,,,,,,
