,Workstream,What's Going On This Month?,Action Plan,Product #,Product Name,What to track?,Treatment,Sr. Level Technical Reviewer/Approver,DEC Submission (Y/N),MI Lead,FAB Lead,LAC Lead,Link to Folder,Status,Production Timeline (No. of Months),% Completion,Due Date,Important Notes
32,2.4.1 LATIN AMERICA AND CARIBBEAN CROSS-MISSION LEARNING PRIVATE SECTOR ENGAGEMENT,"June 30: Completed key informant interviews, analyzing results, and updating learning agenda text based on input. Completed surveys to non-steering group members for broader input. Shared intial draft of learning agenda with USAID LAC for review. The final learning agenda format/platform is still being scoped by Sue with the LAC team. Next steps in July include organizing and facilitating virtual meetings with the PSE Steering Group and other LAC Missions to get input on the learning agenda questions and priority activities/products (SG 6/22/20)",LAC FY20 Work Plan and Budget,2.4.1.J,Update MI2 inventory of all LAC PSE biodiversity activities; Disseminate/share with missions,Process,,Caroline,No,Sara,,Inform CP/LC of information gaps,PSE Inventory,Production,3,90-95%,Mar,
33,2.4.1 LATIN AMERICA AND CARIBBEAN CROSS-MISSION LEARNING PRIVATE SECTOR ENGAGEMENT,"June 30: Completed key informant interviews, analyzing results, and updating learning agenda text based on input. Completed surveys to non-steering group members for broader input. Shared intial draft of learning agenda with USAID LAC for review. The final learning agenda format/platform is still being scoped by Sue with the LAC team. Next steps in July include organizing and facilitating virtual meetings with the PSE Steering Group and other LAC Missions to get input on the learning agenda questions and priority activities/products (SG 6/22/20)",LAC FY20 Work Plan and Budget,2.4.1.K,"Develop PSE LAC Learning Agenda through periodic review, input and feedback from mission staff",Product,Scoping + Transmission + Dissemination Plans,Tess,Yes,Geeta,,Share with CP/LC/AV for review and approval. Share with Steering Group.,,Production,6,90-95%,Sept,
34,2.4.1 LATIN AMERICA AND CARIBBEAN CROSS-MISSION LEARNING PRIVATE SECTOR ENGAGEMENT,"June 30: Completed key informant interviews, analyzing results, and updating learning agenda text based on input. Completed surveys to non-steering group members for broader input. Shared intial draft of learning agenda with USAID LAC for review. The final learning agenda format/platform is still being scoped by Sue with the LAC team. Next steps in July include organizing and facilitating virtual meetings with the PSE Steering Group and other LAC Missions to get input on the learning agenda questions and priority activities/products (SG 6/22/20)",LAC FY20 Work Plan and Budget,2.4.1.L,Organize/Facilitate LAC Learning session at LAC Environment Officers Meeting; Share Learning Agenda with missions,TBD,Scoping Sheet,Caroline,No,Linda,,Coordinate/organize session with CP/LC input and Steering Group,,,5,0-24%,Jun,
35,2.4.1 LATIN AMERICA AND CARIBBEAN CROSS-MISSION LEARNING PRIVATE SECTOR ENGAGEMENT,"June 30: Completed key informant interviews, analyzing results, and updating learning agenda text based on input. Completed surveys to non-steering group members for broader input. Shared intial draft of learning agenda with USAID LAC for review. The final learning agenda format/platform is still being scoped by Sue with the LAC team. Next steps in July include organizing and facilitating virtual meetings with the PSE Steering Group and other LAC Missions to get input on the learning agenda questions and priority activities/products (SG 6/22/20)",LAC FY20 Work Plan and Budget,2.4.1.M,"Scope and implement learning activities and products (e.g., webinars, case studies and/or success stories, learning events)",TBD,,,No,TBD,,TBD,,,,0-24%,,"Will scope learning activities and products for FY21 in Q4, as part of work planning process"
37,2.4.2 LATIN AMERICA AND CARIBBEAN CROSS-MISSION LEARNING COMBATTING CONSERVATION CRIME,"June: Surveys sent out and analyzing results to decide on next steps for results chains and focus of learning agenda. Scoping learning questions based on results and planning for KII follow up discussions. (SG 6/22/20). Currently exploring possibility of using follow up interviews to pilot the annexes from the TWP Supplemental Guide as survey results indicate corruption, law enforcement, and violence against environmental defenders as key themes/ knowledge gaps. Question trees in Annexes could help AORs/CORs further specify relationships between these factors, and knowledge gaps. (JB 6/30)",LAC FY20 Work Plan and Budget,2.4.2.A,"Draft four high-level theories of change for priority strategic approaches (Reduce Demand, Develop Traceability Systems, Build Law Enforcement Capacity, Transparency/Corruption) and identify links to private sector engagement for each approach",Process,,Caroline,No,Jenny with Judy,,Share with Christy/Ben for feedback and input,Draft CCC inventory,Production,7,25-34%,Jul,
38,2.4.2 LATIN AMERICA AND CARIBBEAN CROSS-MISSION LEARNING COMBATTING CONSERVATION CRIME,"June: Surveys sent out and analyzing results to decide on next steps for results chains and focus of learning agenda. Scoping learning questions based on results and planning for KII follow up discussions. (SG 6/22/20). Currently exploring possibility of using follow up interviews to pilot the annexes from the TWP Supplemental Guide as survey results indicate corruption, law enforcement, and violence against environmental defenders as key themes/ knowledge gaps. Question trees in Annexes could help AORs/CORs further specify relationships between these factors, and knowledge gaps. (JB 6/30)",LAC FY20 Work Plan and Budget,2.4.2.B,"Map other learning agenda activities and learning questions (consider mission CLA and PAD MEL plans, regional plans, and SL learning questions)",Process,,,No,Jenny with Judy,,,,Production,2,96-99%,Feb,
39,2.4.2 LATIN AMERICA AND CARIBBEAN CROSS-MISSION LEARNING COMBATTING CONSERVATION CRIME,"June: Surveys sent out and analyzing results to decide on next steps for results chains and focus of learning agenda. Scoping learning questions based on results and planning for KII follow up discussions. (SG 6/22/20). Currently exploring possibility of using follow up interviews to pilot the annexes from the TWP Supplemental Guide as survey results indicate corruption, law enforcement, and violence against environmental defenders as key themes/ knowledge gaps. Question trees in Annexes could help AORs/CORs further specify relationships between these factors, and knowledge gaps. (JB 6/30)",LAC FY20 Work Plan and Budget,2.4.2.C,Develop webinars with Missions to disseminate/share information and get their input; incorporate feedback,Product,,,No,Jenny with Judy,,Discuss w Christy and Ben on ideas for best way to do this,,Production,9,0-24%,,
40,2.4.2 LATIN AMERICA AND CARIBBEAN CROSS-MISSION LEARNING COMBATTING CONSERVATION CRIME,"June: Surveys sent out and analyzing results to decide on next steps for results chains and focus of learning agenda. Scoping learning questions based on results and planning for KII follow up discussions. (SG 6/22/20). Currently exploring possibility of using follow up interviews to pilot the annexes from the TWP Supplemental Guide as survey results indicate corruption, law enforcement, and violence against environmental defenders as key themes/ knowledge gaps. Question trees in Annexes could help AORs/CORs further specify relationships between these factors, and knowledge gaps. (JB 6/30)",LAC FY20 Work Plan and Budget,2.4.2.D,"Develop Conservation Crime Learning Agenda through periodic review, input and feedback from mission staff",Product,Scoping + Transmission + Dissemination Plans,Linda,Yes,Jenny,,Share with Christy/Ben for review and approval,,,7,0-24%,Jul,
41,2.4.2 LATIN AMERICA AND CARIBBEAN CROSS-MISSION LEARNING COMBATTING CONSERVATION CRIME,"June: Surveys sent out and analyzing results to decide on next steps for results chains and focus of learning agenda. Scoping learning questions based on results and planning for KII follow up discussions. (SG 6/22/20). Currently exploring possibility of using follow up interviews to pilot the annexes from the TWP Supplemental Guide as survey results indicate corruption, law enforcement, and violence against environmental defenders as key themes/ knowledge gaps. Question trees in Annexes could help AORs/CORs further specify relationships between these factors, and knowledge gaps. (JB 6/30)",LAC FY20 Work Plan and Budget,2.4.2.E,Organize/Facilitate LAC Learning session at LAC Environment Officers Meeting; Share Learning Agenda with missions and get their input/feedback,TBD,Scoping Sheet,Caroline,No,Jenny,,Organize and facilitate with CJ/BS input,,,5,0-24%,Jun,
42,2.4.2 LATIN AMERICA AND CARIBBEAN CROSS-MISSION LEARNING COMBATTING CONSERVATION CRIME,"June: Surveys sent out and analyzing results to decide on next steps for results chains and focus of learning agenda. Scoping learning questions based on results and planning for KII follow up discussions. (SG 6/22/20). Currently exploring possibility of using follow up interviews to pilot the annexes from the TWP Supplemental Guide as survey results indicate corruption, law enforcement, and violence against environmental defenders as key themes/ knowledge gaps. Question trees in Annexes could help AORs/CORs further specify relationships between these factors, and knowledge gaps. (JB 6/30)",LAC FY20 Work Plan and Budget,2.4.2.F,"Scope and implement learning activities and/or products (e.g., webinars, case studies and/or success stories, learning events)",TBD,,,No,TBD,,TBD,,,,,,
43,2.6 BUSHMEAT AND WILD MEAT CROSS-MISSION LEARNING GROUP PREPARATION,"June: Surveys sent out and analyzing results to decide on next steps for results chains and focus of learning agenda. Scoping learning questions based on results and planning for KII follow up discussions. (SG 6/22/20). Currently exploring possibility of using follow up interviews to pilot the annexes from the TWP Supplemental Guide as survey results indicate corruption, law enforcement, and violence against environmental defenders as key themes/ knowledge gaps. Question trees in Annexes could help AORs/CORs further specify relationships between these factors, and knowledge gaps. (JB 6/30)",FY20 Cross-Mission Learning Tracking Table,2.6.1.A,"Complete revisions, produce, and disseminate a two-page executive summary of a bushmeat report developed in 2019 by a different USAID consultant.",Product,Scoping + Transmission + Dissemination Plans,Kathleen,No,"Kathleen, Caroline","Natalie Bailey
",,Google Folder,Scoping,8,0-24%,Sep,
